User,Location,Tweet,Num of Friend,Num of Followers,Total Tweets by user,Account Created at,Tweet Created at,Num of Retweet,hashtags in the tweet
d_fredeick,"Lawrenceville, GA ","President Trump or Joseph Biden wins the election, I don't care.
Politics don't dominate my thoughts.

#Politics",5002,2761,4771,3/13/2019 19:21,10/27/2020 18:29,0,"[{'text': 'Politics', 'indices': [103, 112]}]"
politic_talks,,Trump supporters face string of attacks in run-up to Election Day: What we know about the suspects… https://t.co/ixqw4giATU,32,138,58241,6/20/2018 19:24,10/27/2020 18:29,0,[]
matthewdking,"Fort Worth, TX","Dear @JohnPiper,

I respect you as a preacher, but i can’t help but feel your article was inherently inspired by yo… https://t.co/7gH1eq3bhi",433,124,981,10/13/2017 14:11,10/27/2020 18:29,0,[]
thejoshuablog,new york city,Via @RawStory: Church pastor apologizes for superspreader event that left 60 with COVID — but excludes part of his… https://t.co/a4IMHjsqdO,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:29,0,[]
Liberal_Forum,United States of America,"Former U.S. attorneys — all #Republicans — back @JoeBiden, saying @realDonaldTrump threatens ‘the rule of #law’… https://t.co/DBA60ygpwa",1127,550,41733,12/18/2013 19:24,10/27/2020 18:28,0,"[{'text': 'Republicans', 'indices': [28, 40]}, {'text': 'law', 'indices': [106, 110]}]"
harvassaila,,"Releasing full interviews is a massive blow to mainstream media. They deserve it.

People in power should be challe… https://t.co/5MwwnQMRKh",784,171,1309,1/11/2014 0:05,10/27/2020 18:28,0,[]
smylie52,"Chigwell Row, Essex",Check out my newest post that looks into the theory behind Geographic Indications and the Feta PDO. This work forme… https://t.co/ExgC3AjEj9,920,255,19052,1/19/2010 20:10,10/27/2020 18:27,0,[]
TheWholeN9nes,The Rotten Apple,#Biden both stings #Trump and uplifts the country at the same time during his speech in #Georgia. Biden managed to… https://t.co/7yReBxOrSG,5000,1709,78810,3/23/2011 3:32,10/27/2020 18:26,0,"[{'text': 'Biden', 'indices': [0, 6]}, {'text': 'Trump', 'indices': [19, 25]}, {'text': 'Georgia', 'indices': [88, 96]}]"
MakeItPlain,"New York, NY",#Biden both stings #Trump and uplifts the country at the same time during his speech in #Georgia. Biden managed to… https://t.co/bfOc5O66Yl,3055,21517,143067,12/12/2008 17:26,10/27/2020 18:26,0,"[{'text': 'Biden', 'indices': [0, 6]}, {'text': 'Trump', 'indices': [19, 25]}, {'text': 'Georgia', 'indices': [88, 96]}]"
CryptographicHr,Link below to the Bitcoin Book,"You Can’t Even Question It
#COVID19 #coronavirus 
#Politics #FreedomOfSpeech #lockdown 
@LegendaryEnergy, you shoul… https://t.co/fzu87wzIHv",259,397,1524,3/13/2015 22:35,10/27/2020 18:25,0,"[{'text': 'COVID19', 'indices': [27, 35]}, {'text': 'coronavirus', 'indices': [36, 48]}, {'text': 'Politics', 'indices': [50, 59]}, {'text': 'FreedomOfSpeech', 'indices': [60, 76]}, {'text': 'lockdown', 'indices': [77, 86]}]"
