User,Location,Tweet,Num of Friend,Num of Followers,Total Tweets by user,Account Created at,Tweet Created at,Num of Retweet,hashtags in the tweet
YourServiceYW,United States,"YOU HEARD HER !!!!

VOTE #REPUBLICAN FOLKS !!! https://t.co/fLOcr2dcrG",6616,6045,297029,11/10/2014 17:08,10/27/2020 4:54,0,"[{'text': 'REPUBLICAN', 'indices': [25, 36]}]"
Daylus2,,"I can’t fucking wait to expand the courts, give statehood to whomever is interested (DC/PR/AS), and make… https://t.co/UGr1kpQm9y",752,122,2335,7/22/2018 15:42,10/27/2020 4:53,0,[]
RodneyLiber,"Kansas City, MO",Lol... it’s like you are saying. I have been a true Christian all my life but today I sold my soul to the devil to… https://t.co/Bke75fMUmE,427,127,1156,9/4/2008 22:03,10/27/2020 4:46,1,[]
BigHeadTales,"Leftywood, Fascist America","@NikkiSixx I will never vote for a #Republican. Not because I’m a Democrat, but because I refuse to support corrupt… https://t.co/VvECFwAUC7",599,466,80393,2/9/2010 19:47,10/27/2020 4:40,0,"[{'text': 'Republican', 'indices': [35, 46]}]"
DoseOpinion,California,"Glad that #ACB was confirmed to #SCOTUS but she only got 52 votes. She was an impressive nominee, with great creden… https://t.co/5fEUdnipFh",18,8,34,12/28/2019 19:50,10/27/2020 4:37,0,"[{'text': 'ACB', 'indices': [10, 14]}, {'text': 'SCOTUS', 'indices': [32, 39]}]"
KEEPINGTNRED,"Tennessee, USA",Finally...a woman I can relate with! #momsofseven #christian #prolife #Conservative #republican #womenoffaith https://t.co/j0sSgx4rIB,20004,19064,128278,11/30/2008 19:25,10/27/2020 4:33,0,"[{'text': 'momsofseven', 'indices': [37, 49]}, {'text': 'christian', 'indices': [50, 60]}, {'text': 'prolife', 'indices': [61, 69]}, {'text': 'Conservative', 'indices': [70, 83]}, {'text': 'republican', 'indices': [84, 95]}, {'text': 'womenoffaith', 'indices': [96, 109]}]"
meme_drops,"Los Angeles, CA","Make California Reagan Again
🇺🇸❤️🤍💙🇺🇸
End This Lockdown!!!
#Republican #VoteRed #WalkAway #GavinNewsom… https://t.co/v3Ae0ZIgqe",88,5,127,11/11/2017 5:17,10/27/2020 4:31,0,"[{'text': 'Republican', 'indices': [59, 70]}, {'text': 'VoteRed', 'indices': [71, 79]}, {'text': 'WalkAway', 'indices': [80, 89]}, {'text': 'GavinNewsom', 'indices': [90, 102]}]"
IndictPOTUS45,"#VoteJoeBiden, USA","#BREAKING NEWS 🔴

#Wisconsin NOT allowed to count mail-in ballots received from the AMERICAN PEOPLE after election… https://t.co/airD7wI2yV",141,335,24500,6/19/2010 20:46,10/27/2020 4:29,1,"[{'text': 'BREAKING', 'indices': [0, 9]}, {'text': 'Wisconsin', 'indices': [18, 28]}]"
NATION_FIRST_01,,They questioned #AmyConeyBarrett but here she is... you know the truth and you know how to excel when naysayers cre… https://t.co/XyU8vPyqAC,1091,254,3510,7/21/2009 8:39,10/27/2020 4:29,0,"[{'text': 'AmyConeyBarrett', 'indices': [16, 32]}]"
icicicie,,@BSheepleherder @thehill @GOP @realDonaldTrump @kayleighmcenany sold her soul to the devil for Trump. @RVAT2020… https://t.co/7R6EujbwfM,489,0,60,6/12/2013 20:42,10/27/2020 4:26,0,[]
